year,patents,rnd
1980-01-01,,174.696
1981-01-01,,183.259
1982-01-01,,190.279
1983-01-01,,200.959
1984-01-01,,218.391
1985-01-01,,239.777
1986-01-01,,249.475
1987-01-01,,259.91
1988-01-01,,264.413
1989-01-01,,270.082
1990-01-01,,279.081
1991-01-01,,284.758
1992-01-01,58694.0,284.14
1993-01-01,61226.0,280.33
1994-01-01,64244.0,280.003
1995-01-01,64399.0,287.531
1996-01-01,69328.0,304.206
1997-01-01,69860.0,317.412
1998-01-01,90649.0,332.233
1999-01-01,94040.0,351.299
2000-01-01,96920.0,373.64
2001-01-01,98594.0,385.933
2002-01-01,97086.0,390.664
2003-01-01,98563.0,401.304
2004-01-01,94110.0,409.509
2005-01-01,82562.0,428.977
2006-01-01,102239.0,451.617
2007-01-01,93665.0,471.916
2008-01-01,91980.0,481.847
2009-01-01,95032.0,476.626
2010-01-01,121164.0,478.633
2011-01-01,121247.0,489.855
2012-01-01,134187.0,490.033
2013-01-01,147652.0,507.467
2014-01-01,158709.0,521.116
2015-01-01,155982.0,538.991
2016-01-01,160540.0,574.213
2017-01-01,169208.0,589.981
2018-01-01,161809.0,619.593
2019-01-01,186118.0,668.247
2020-01-01,183147.0,695.07
2021-01-01,,746.335
2022-01-01,,803.046
2023-01-01,,846.514
2024-01-01,,867.022
