observation_date,PATENTUSALLTOTAL
1992-01-01,58694
1993-01-01,61226
1994-01-01,64244
1995-01-01,64399
1996-01-01,69328
1997-01-01,69860
1998-01-01,90649
1999-01-01,94040
2000-01-01,96920
2001-01-01,98594
2002-01-01,97086
2003-01-01,98563
2004-01-01,94110
2005-01-01,82562
2006-01-01,102239
2007-01-01,93665
2008-01-01,91980
2009-01-01,95032
2010-01-01,121164
2011-01-01,121247
2012-01-01,134187
2013-01-01,147652
2014-01-01,158709
2015-01-01,155982
2016-01-01,160540
2017-01-01,169208
2018-01-01,161809
2019-01-01,186118
2020-01-01,183147
