observation_date,Y694RX1A020NBEA
1980-01-01,174.696
1981-01-01,183.259
1982-01-01,190.279
1983-01-01,200.959
1984-01-01,218.391
1985-01-01,239.777
1986-01-01,249.475
1987-01-01,259.910
1988-01-01,264.413
1989-01-01,270.082
1990-01-01,279.081
1991-01-01,284.758
1992-01-01,284.140
1993-01-01,280.330
1994-01-01,280.003
1995-01-01,287.531
1996-01-01,304.206
1997-01-01,317.412
1998-01-01,332.233
1999-01-01,351.299
2000-01-01,373.640
2001-01-01,385.933
2002-01-01,390.664
2003-01-01,401.304
2004-01-01,409.509
2005-01-01,428.977
2006-01-01,451.617
2007-01-01,471.916
2008-01-01,481.847
2009-01-01,476.626
2010-01-01,478.633
2011-01-01,489.855
2012-01-01,490.033
2013-01-01,507.467
2014-01-01,521.116
2015-01-01,538.991
2016-01-01,574.213
2017-01-01,589.981
2018-01-01,619.593
2019-01-01,668.247
2020-01-01,695.070
2021-01-01,746.335
2022-01-01,803.046
2023-01-01,846.514
2024-01-01,867.022
